CPD_NAME,BROAD_ID
PD 166793,BRD-A75478957
dihydrodeoxygedunin,BRD-A02713983
FPL-64176,BRD-K78959463
naltrexone,BRD-A83855350
PGB2,BRD-K82865713
ciglitazone,BRD-A93000692
"3,4-dimethoxy-6-nitrobenzaldehyde",BRD-K03564313
(R)-angolensin,BRD-K98281970
racephedrine,BRD-A54236247
vinblastine sulfate,BRD-A22783572
A-23187,BRD-A19134330
CAPE,BRD-K96188950
4-cyano-3-methylisoquinoline,BRD-K94217587
fusaric acid,BRD-K87049188
Cdk4 inhibitor III,BRD-K06426971
PP3,BRD-K16977723
iso-olomoucine,BRD-K86509404
BRL 52537,BRD-A37347161
2-pyridylethylamine,BRD-K17874705
LY 456236,BRD-K87696786
dicloxacillin,BRD-K05673000
molindone,BRD-A65280694
dehydrocholic acid,BRD-K90976994
GR 144053,BRD-K12120659
7-chlorokynurenic acid,BRD-K84214706
noscapine,BRD-K91301684
prilocaine,BRD-A53952395
atenolol,BRD-A20239487
sildenafil,BRD-K79759585
EMD 41000,BRD-K89271983
3alpha-acetoxydihydrodeoxygedunin,BRD-A14098586
sulconazole,BRD-A70649075
mebeverine,BRD-A09467419
4-hydroxynonenal,BRD-A15914070
CGP-37157,BRD-A35623999
gw 7647,BRD-K96263742
benzo(a)pyrene,BRD-K09668667
sulfamerazine,BRD-K93524252
butylparaben,BRD-K08287586
cefotaxime,BRD-K78364995
mevastatin,BRD-K94441233
8-Hydroxy-PIPAT oxalate,BRD-A51381734
N-benzylnaltrindole,BRD-A06276885
clobetasol propionate,BRD-A63894585
(+/-)-abscisic acid,BRD-A17658676
AM-251,BRD-K92000912
dichlorobenzimidazole riboside,BRD-A05456882
TC 1,BRD-A13964793
ICI-89406,BRD-A03359064
Bax channel blocker,BRD-A18763547
bicuculline,BRD-A07870296
Boc-GVV-CHO,BRD-K79053258
AG 592,BRD-K89930444
SCH 58261,BRD-K81225797
sinomenine,BRD-K83459933
chromocarb,BRD-K94720315
IDRA 21,BRD-A14344385
dyphylline,BRD-A00827783
DR-2313,BRD-K94920105
AQ-RA 741,BRD-K81729199
felodipine,BRD-A30815329
acebutolol,BRD-A29260609
"3-(10,10-Dimethyl-2-methylene-6-oxobicyclo[7.2.0]undec-5-yl)dihydro-2,5-furandione",BRD-A58803929
deltaline,BRD-A99177642
flucloxacillin,BRD-A13650332
azelastine,BRD-A68888262
"CP 55,940",BRD-A03816571
met-leu-phe,BRD-A02189320
orciprenaline,BRD-A07780951
triamcinolone diacetate,BRD-A30717181
albendazole,BRD-K79131256
amiloride,BRD-K97181089
SB 239063,BRD-K98143437
naltrexone,BRD-K88172511
betaxolol,BRD-A02759312
KB-R7943,BRD-K17743697
umbelliferone,BRD-K87991767
flavanone,BRD-A07824748
"dehydro(11,12)ursolic acid lactone",BRD-A98888138
wortmannin,BRD-A11678676
CGP 54626,BRD-A55369275
clidinium bromide,BRD-A46066006
ajmalicine,BRD-K83028735
funaltrexamine,BRD-A04231641
selegiline,BRD-K86434416
tolbutamide,BRD-K85119730
aminophylline,BRD-K97799481
alexidine,BRD-A42335949
5-iodotubercidin,BRD-A18497530
azacyclonol,BRD-K97061094
iproniazid,BRD-K88568253
quercetin,BRD-K97399794
ricinine,BRD-K82561139
pimethixene,BRD-K88090157
NPPB,BRD-K89272762
nomifensine,BRD-A29644307
nitrofural,BRD-K79092138
(+)-UH 232 maleate,BRD-A00327403
isradipine,BRD-A90799790
norethisterone,BRD-K92073408
"betamethasone 17,21-dipropionate",BRD-A66861218
desoxycortone,BRD-K98521173
melperone,BRD-K92984783
zamifenacin,BRD-K80451230
methscopolamine bromide,BRD-A03932035
"R(-)-2,10,11-trihydroxy-N-propyl-noraporphine",BRD-K16604360
isoprenaline,BRD-A04322457
SB-258585,BRD-K80639402
propranolol,BRD-K92830582
Beta CCP,BRD-K85242180
"ST083657 2',7-Dimethoxyflavone",BRD-K90574291
SB-205607,BRD-A11609859
cephalotaxine,BRD-A08877921
cuneatin methyl ether,BRD-K89225759
tremulacin,BRD-A61856038
linomide,BRD-K03384561
anthothecol,BRD-A37828317
gliclazide,BRD-A61154809
cytisine,BRD-A55579717
gibberellic acid,BRD-K92758126
bupivacaine,BRD-A01636364
BW-723C86,BRD-A17428743
"Methyl 2,5-dihydroxycinnamate",BRD-K88741031
LY-278584,BRD-A12016240
paeonol,BRD-K94239562
repaglinide,BRD-K82846253
tubaic acid,BRD-A02176148
"5-[(DIMETHYLAMINO)METHYL]-3-(1-METHYL-1H-INDOL-3-YL)-1,2,4-OXADIAZOLE",BRD-K80315422
procaterol,BRD-A22684332
(-)-Bicuculline methiodide,BRD-A57798559
CGP 13501,BRD-K95851186
BUTYL-beta-CARBOLINE-3-CARBOXYLATE,BRD-K87349602
epiafzelechin,BRD-K90607708
anabasine,BRD-A24284985
thiotepa,BRD-K09631521
O-2050,BRD-K02590140
azadirachtin,BRD-A03898562
racecadotril,BRD-A08187463
SIB 1757,BRD-K98157055
isoetarine,BRD-A24587114
dipyridamole,BRD-K86301799
8-M-PDOT,BRD-A07232941
flecainide,BRD-A09472452
bifonazole,BRD-A94543220
"9,21-dehydroryanodine",BRD-K14359826
JX-401,BRD-K05464208
GBR 13069,BRD-K92577649
SACLOFEN,BRD-A24122750
DPPE,BRD-K80315159
S(-)-LISURIDE,BRD-K88871508
pinocembrin,BRD-K94689771
alpha-cyano-3-hydroxycinnamic acid,BRD-K08199068
S-Isopropylisothiourea hydrobromide,BRD-K10673031
suprofen methyl ester,BRD-A11154023
prasterone,BRD-A20602349
cyclopiazonic acid,BRD-A26787626
fenretinide,BRD-K89085489
exo1,BRD-K78633253
chelerythrine,BRD-K87904882
trichlormethiazide,BRD-A28940325
SKF 81297,BRD-A09828896
edoxudine,BRD-A62505706
diphemanil metilsulfate,BRD-K93441486
pseudoephedrine,BRD-K84175871
deoxyandirobin,BRD-A02799884
dehydroepiandrosterone 3-acetate,BRD-K96527333
rimcazole,BRD-A63346720
sulpiride,BRD-A10715913
7-deacetoxy-7-oxodeoxygedunin,BRD-A37523642
metanephrine,BRD-A42346008
